nhom_san_pham,san_pham,chuong_trinh,AI_extracted_product
Khác,Paracetamol 500mg ABC Pharma,Cứ 2 hộp tặng 5 hộp Paracetamol 1 vỉ,Paracetamol
Khác,Vitamin C 500mg sủi bọt ABC,"Cứ 2 tặng 1 (50%), được cộng hưởng cùng",Vitamin C
Khác,Vitamin D3 1000IU Softgel,Cứ 3 tặng 1 cùng loại (33%),Vitamin D3
Khác,Ibuprofen 400mg ABC Care,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Ibuprofen
Khác,Siro ho Prospan Đức,"Cứ 20 lốc thưởng 5% bằng điểm, thêm",Prospan
Khác,Thuốc ho Bảo Thanh,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1,Bảo Thanh
Khác,Thuốc cảm Coldacmin Forte,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Coldacmin Forte
Khác,Omega-3 Fish Oil 1000mg,"Tích điểm 5% + hỗ trợ POSM (poster,",Omega-3 Fish Oil
Khác,Collagen Plus Beauty Drink,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm,Collagen
Khác,Canxi Nano D3 K2 MK7,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Canxi Nano D3 K2 MK7
Khác,Kẽm Gluconate 50mg,"Cứ 2 hộp tặng 5 hộp Kẽm 1 vỉ (26.3%), tối đa",Kẽm Gluconate
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",12,"suất/nhà thuốc, cộng hưởng CT cam kết"
Khác,Viên ngậm ho Eugica,Cứ 3 tặng 1 cùng loại (33%),Eugica
Khác,Thuốc nhỏ mũi Otrivin,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Otrivin
Khác,Dung dịch vệ sinh mũi,Physiodose,Dung dịch vệ sinh mũi
Khác,Vitamin Tổng hợp Daily One,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1,Vitamin Tổng hợp Daily One
Khác,Siro Multivitamin ABC,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Multivitamin
Khác,Glucosamine 1500mg,"Tích điểm 5% + hỗ trợ POSM (poster,",Glucosamine
Khác,Thuốc bổ gan Boganic,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm,Boganic
Khác,Gaviscon dạ dày,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Gaviscon
Khác,DHA 1000mg bổ não,"Cứ 2 hộp tặng 5 hộp DHA 1 vỉ (26.3%), tối đa",DHA
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",22,"suất/nhà thuốc, cộng hưởng CT cam kết"
Khác,Sữa ong chúa Royal Jelly 1000mg,Cứ 3 tặng 1 cùng loại (33%),Royal Jelly
Khác,Viên uống trắng da Glutathione,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Glutathione
Khác,Viên uống giảm cân Slimfit Plus,"Cứ 20 lốc thưởng 5% bằng điểm, thêm",Slimfit Plus
Khác,Thuốc xịt mũi Sterimar,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1,Sterimar
Khác,Loratadin 10mg,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Loratadin
Khác,Thuốc đau bao tử Yumangel,"Tích điểm 5% + hỗ trợ POSM (poster,",Yumangel
Khác,Omega-3 Salmon Oil,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm,Omega-3 Salmon Oil
Khác,Vitamin E 400IU ABC,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Vitamin E
Khác,Sắt + Acid Folic Prenatal,"Cứ 2 hộp tặng 5 hộp Sắt 1 vỉ (26.3%), tối đa",Sắt + Acid Folic
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",32,"suất/nhà thuốc, cộng hưởng CT cam kết"
Khác,Methorphan trị ho,Cứ 3 tặng 1 cùng loại (33%),Methorphan
Khác,Siro ho Ích Nhi,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Siro ho
Khác,Thuốc trị ho Pectol,"Cứ 20 lốc thưởng 5% bằng điểm, thêm",Pectol
Khác,Ginkgo Biloba,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1,Ginkgo Biloba
Khác,Canxi Corbiere,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Canxi
Khác,Bright Eyes bổ mắt,"Tích điểm 5% + hỗ trợ POSM (poster,",Bright Eyes
Khác,Biozyme men tiêu hóa,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm,Biozyme
Khác,Collagen ADIVA,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Collagen
Khác,Magie B6,"Cứ 2 hộp tặng 5 hộp Magie 1 vỉ (26.3%), tối",Magie B6
Khác,Enterogermina men vi sinh,"Cứ 2 tặng 1 (50%), được cộng hưởng cùng",Enterogermina
Khác,Smecta trị tiêu chảy,Cứ 3 tặng 1 cùng loại (33%),Smecta
Khác,Berocca viên sủi,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Berocca
Khác,Strepsils đau họng,"Cứ 20 lốc thưởng 5% bằng điểm, thêm",Strepsils
Khác,Canesten trị nấm da,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1,Canesten
Khác,Dung dịch rửa tay ABC,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Dung dịch rửa tay
Khác,Listerine súc miệng,"Tích điểm 5% + hỗ trợ POSM (poster,",Listerine
Khác,Imunoglukan tăng đề kháng,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm,Imunoglukan
Khác,Blackmores Pregnancy,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm,Blackmores Pregnancy
Vitamin & Khoáng chất,Vitamin C 500mg sủi bọt ABC,Giảm 15% giá bán lẻ cho mỗi hộp trong tháng 09/2025,Vitamin C
Vitamin & Khoáng chất,Vitamin D3 1000IU Softgel,"Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên",Vitamin D3
Thuốc giảm đau - hạ sốt,"Paracetamol 500mg, Efferalgan","Mua 10 tặng 1 hộp, áp dụng cho đơn hàng từ 2 triệu trở lên",Paracetamol
Thuốc ho & cảm lạnh,"Siro ho Prospan, Thuốc ho Bảo Thanh",Chiết khấu thêm 5% cho đơn hàng từ 100 hộp trở lên,Prospan
