Ngày mua,Nhà thuốc,Sản phẩm,Số lượng,Đơn giá (VND),AI_extracted_product
13/01/2025,Nhà thuốc Hoa Sen,Magie B6,190,164194,Magnesium B6
22/02/2025,Nhà thuốc An Khang,Dung dịch vệ sinh mũi Physiodose,174,408323,Physiodose
17/01/2025,Nhà thuốc Tâm Đức,Thuốc ho Bảo Thanh,8,69123,Bao Thanh
12/04/2025,Nhà thuốc Minh Châu,Dung dịch vệ sinh mũi Physiodose,184,360726,Physiodose
18/08/2025,Nhà thuốc Long Châu,Loratadin 10mg,151,165852,Loratadine
05/08/2025,Nhà thuốc An Khang,Imunoglukan tăng đề kháng,88,165684,Imunoglukan
22/02/2025,Nhà thuốc Trung Sơn,Thuốc nhỏ mũi Otrivin,24,219191,Otrivin
16/05/2025,Nhà thuốc Trung Sơn,Sữa ong chúa Royal Jelly 1000mg,12,402589,Royal Jelly
13/07/2025,Nhà thuốc Hoa Sen,Thuốc trị ho Pectol,21,309428,Pectol
09/04/2025,Nhà thuốc Trung Sơn,Magie B6,181,56466,Magnesium B6
29/05/2025,Nhà thuốc Long Châu,Smecta trị tiêu chảy,21,468432,Smecta
23/05/2025,Nhà thuốc Tâm Đức,Thuốc cảm Coldacmin Forte,117,353281,Coldacmin Forte
01/07/2025,Nhà thuốc Trung Sơn,Kẽm Gluconate 50mg,54,371364,Zinc Gluconate
29/03/2025,Nhà thuốc Hoa Sen,Strepsils đau họng,137,402272,Strepsils
14/07/2025,Nhà thuốc Gia Hân,Kẽm Gluconate 50mg,70,355544,Zinc Gluconate
29/01/2025,Nhà thuốc Trung Sơn,Dung dịch vệ sinh mũi Physiodose,59,450861,Physiodose
18/05/2025,Nhà thuốc Tâm Đức,DHA 1000mg bổ não,17,130615,DHA
22/07/2025,Nhà thuốc Gia Hân,Thuốc nhỏ mũi Otrivin,165,260570,Otrivin
07/05/2025,Nhà thuốc An Khang,Siro Multivitamin ABC,191,314318,Multivitamin
24/07/2025,Nhà thuốc Tâm Đức,Siro Multivitamin ABC,93,134987,Multivitamin
16/02/2025,Nhà thuốc Gia Hân,Methorphan trị ho,194,44702,Methorphan
05/08/2025,Nhà thuốc An Khang,Canxi Nano D3 K2 MK7,153,53306,Calcium Nano D3 K2 MK7
28/09/2025,Nhà thuốc Gia Hân,Viên uống giảm cân Slimfit Plus,65,310049,Slimfit Plus
17/05/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,197,356048,Berocca
11/08/2025,Nhà thuốc Phúc An,Omega-3 Fish Oil 1000mg,41,257881,Omega-3 Fish Oil
14/09/2025,Nhà thuốc Phúc An,Dung dịch rửa tay ABC,196,113665,Hand Sanitizer
17/09/2025,Nhà thuốc Phúc An,Thuốc cảm Coldacmin Forte,156,124286,Coldacmin Forte
29/09/2025,Nhà thuốc An Khang,Viên uống trắng da Glutathione,1,334019,Glutathione
27/02/2025,Nhà thuốc Minh Châu,Decolgen cảm cúm,93,480703,Decolgen
04/05/2025,Nhà thuốc Minh Châu,Vitamin Tổng hợp Daily One,146,61291,Multivitamin
05/02/2025,Nhà thuốc Gia Hân,Dung dịch rửa tay ABC,195,299291,Hand Sanitizer
26/03/2025,Nhà thuốc Gia Hân,Collagen Plus Beauty Drink,68,296653,Collagen
09/06/2025,Nhà thuốc Long Châu,Thuốc nhỏ mũi Otrivin,103,372157,Otrivin
03/03/2025,Nhà thuốc Gia Hân,Omega-3 Salmon Oil,64,137806,Omega-3 Salmon Oil
28/04/2025,Nhà thuốc Minh Châu,Probiotics ABC,151,135457,Probiotics
28/04/2025,Nhà thuốc Minh Châu,Siro ho Prospan Đức,18,494700,Prospan
21/09/2025,Nhà thuốc Hoa Sen,Probiotics ABC,61,166002,Probiotics
31/08/2025,Nhà thuốc An Khang,Thuốc nhỏ mũi Otrivin,63,431366,Otrivin
18/02/2025,Nhà thuốc Long Châu,Loratadin 10mg,25,365496,Loratadine
30/07/2025,Nhà thuốc Tâm Đức,Sữa ong chúa Royal Jelly 1000mg,120,472899,Royal Jelly
01/02/2025,Nhà thuốc Hoa Sen,Berocca viên sủi,104,401793,Berocca
09/04/2025,Nhà thuốc Long Châu,Thuốc cảm Coldacmin Forte,49,301168,Coldacmin Forte
04/04/2025,Nhà thuốc Tâm Đức,Collagen Plus Beauty Drink,72,262550,Collagen
20/02/2025,Nhà thuốc Gia Hân,Siro ho Prospan Đức,13,361911,Prospan
02/05/2025,Nhà thuốc Hoa Sen,Paracetamol 500mg ABC Pharma,43,233078,Paracetamol
25/07/2025,Nhà thuốc Long Châu,Sắt + Acid Folic Prenatal,16,106317,Iron + Folic Acid
16/05/2025,Nhà thuốc Tâm Đức,Paracetamol 500mg ABC Pharma,117,169552,Paracetamol
21/03/2025,Nhà thuốc Gia Hân,Strepsils đau họng,49,175560,Strepsils
10/06/2025,Nhà thuốc Minh Châu,Ibuprofen 400mg ABC Care,15,46289,Ibuprofen
30/01/2025,Nhà thuốc An Khang,Methorphan trị ho,131,62001,Methorphan
01/05/2025,Nhà thuốc Hoa Sen,Siro ho Prospan Đức,104,82855,Prospan
11/02/2025,Nhà thuốc Minh Châu,Bright Eyes bổ mắt,108,364652,Bright Eyes
15/04/2025,Nhà thuốc Phúc An,DHA 1000mg bổ não,172,395490,DHA
22/07/2025,Nhà thuốc Phúc An,Vitamin Tổng hợp Daily One,34,372159,Multivitamin
07/02/2025,Nhà thuốc Trung Sơn,Vitamin E 400IU ABC,3,260273,Vitamin E
17/09/2025,Nhà thuốc Long Châu,Siro ho Prospan Đức,68,89445,Prospan
09/07/2025,Nhà thuốc Long Châu,Siro ho Prospan Đức,73,102704,Prospan
28/09/2025,Nhà thuốc Phúc An,Thuốc trị ho Pectol,3,370152,Pectol
10/03/2025,Nhà thuốc Hoa Sen,Gaviscon dạ dày,68,80517,Gaviscon
20/05/2025,Nhà thuốc An Khang,Listerine súc miệng,73,337105,Listerine
15/04/2025,Nhà thuốc Trung Sơn,Canesten trị nấm da,176,352523,Canesten
09/05/2025,Nhà thuốc Gia Hân,Methorphan trị ho,14,68390,Methorphan
02/01/2025,Nhà thuốc Minh Châu,Glucosamine 1500mg,86,424288,Glucosamine
24/03/2025,Nhà thuốc Phúc An,Magie B6,190,251649,Magnesium B6
05/01/2025,Nhà thuốc Tâm Đức,Canesten trị nấm da,29,59449,Canesten
09/07/2025,Nhà thuốc Minh Châu,Thuốc trị ho Pectol,150,309682,Pectol
22/01/2025,Nhà thuốc An Khang,Thuốc đau bao tử Yumangel,79,211182,Yumangel
08/05/2025,Nhà thuốc Long Châu,Sữa ong chúa Royal Jelly 1000mg,171,73893,Royal Jelly
21/03/2025,Nhà thuốc Tâm Đức,Blackmores Pregnancy,61,473302,Blackmores Pregnancy
13/01/2025,Nhà thuốc Tâm Đức,Thuốc nhỏ mắt Osla,46,406171,Osla
17/05/2025,Nhà thuốc Long Châu,Loratadin 10mg,41,432811,Loratadine
29/08/2025,Nhà thuốc Minh Châu,Viên uống giảm cân Slimfit Plus,57,124633,Slimfit Plus
27/04/2025,Nhà thuốc Phúc An,Sữa ong chúa Royal Jelly 1000mg,58,32406,Royal Jelly
23/05/2025,Nhà thuốc Trung Sơn,Thuốc xịt mũi Sterimar,18,425445,Sterimar
19/06/2025,Nhà thuốc Tâm Đức,Sữa ong chúa Royal Jelly 1000mg,8,80472,Royal Jelly
20/01/2025,Nhà thuốc Phúc An,Thuốc nhỏ mắt Osla,28,332775,Osla
12/08/2025,Nhà thuốc Trung Sơn,Sữa ong chúa Royal Jelly 1000mg,156,288132,Royal Jelly
11/05/2025,Nhà thuốc Long Châu,Viên uống giảm cân Slimfit Plus,12,391607,Slimfit Plus
06/07/2025,Nhà thuốc Long Châu,Paracetamol 500mg ABC Pharma,111,56686,Paracetamol
05/03/2025,Nhà thuốc Trung Sơn,Collagen ADIVA,185,491883,Collagen
29/07/2025,Nhà thuốc Phúc An,Methorphan trị ho,84,230973,Methorphan
09/04/2025,Nhà thuốc An Khang,Ginkgo Biloba,108,368614,Ginkgo Biloba
04/06/2025,Nhà thuốc An Khang,Berocca viên sủi,104,307276,Berocca
18/04/2025,Nhà thuốc Phúc An,Gaviscon dạ dày,111,431963,Gaviscon
15/08/2025,Nhà thuốc Gia Hân,Vitamin E 400IU ABC,173,132041,Vitamin E
13/02/2025,Nhà thuốc An Khang,Sắt + Acid Folic Prenatal,73,290245,Iron + Folic Acid
08/06/2025,Nhà thuốc Long Châu,Thuốc ho Bảo Thanh,58,442871,Bao Thanh
24/01/2025,Nhà thuốc Minh Châu,Canxi Nano D3 K2 MK7,63,269108,Calcium Nano D3 K2 MK7
10/04/2025,Nhà thuốc Tâm Đức,Vitamin E 400IU ABC,184,385090,Vitamin E
05/05/2025,Nhà thuốc Tâm Đức,Decolgen cảm cúm,38,363963,Decolgen
06/08/2025,Nhà thuốc Hoa Sen,Imunoglukan tăng đề kháng,57,112215,Imunoglukan
