count,sku,name,web_name,slug,price,price_unit,currency_symbol,image_url,ingredients,dosage_form,brand,specification,category_names,category_slugs,is_active,is_publish,search_scoring,product_ranking,link,category,skip_count
1,00049379,MIẾNG DÁN HẠ SỐT BYE BYE FEVER SUPER COOL 3 GÓI X 2 MIẾNG - DÙNG CHO TRẺ TỪ 10 TUỔI VÀ NGƯỜI LỚN,Miếng dán hạ sốt Bye Bye Fever Super Cool dùng cho trẻ từ 10 tuổi và người lớn (3 gói x 2 miếng),trang-thiet-bi-y-te/mieng-dan-ha-sot-bye-bye-fever-super-cool-3-goi-x-2-mieng-dung-cho-tre-tu-10-tuoi-va-nguoi-lon.html,60000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00039_e763a65d96.jpg,"Nước , Glycerin , Polymer , Menthol ",,Hisamitsu,Hộp 3 Gói x 2 Miếng,"Thiết bị y tế | Dụng cụ sơ cứu | Miếng dán giảm đau, hạ sốt",trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-so-cuu | trang-thiet-bi-y-te/mieng-dan-giam-dau,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/mieng-dan-ha-sot-bye-bye-fever-super-cool-3-goi-x-2-mieng-dung-cho-tre-tu-10-tuoi-va-nguoi-lon.html,trang-thiet-bi-y-te,0
2,00048319,DẦU GỘI TRỊ GÀU NAZOREL SHAMPOO CICLOPIROX OLAMINE 100ML,DẦU GỘI TRỊ GÀU NAZOREL SHAMPOO CICLOPIROX OLAMINE 100ML,trang-thiet-bi-y-te/dau-goi-tri-gau-nazorel-shampoo-ciclopirox-olamine-100-ml-1.html,98000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_02444_1b0f6b04dd.jpg,"Ciclopirox olamin , Selennium Disulfide , Cocamide Dea , glycerine , Climbazol , Chiết xuất lá Xoài , chiết xuất lô hội , Chiết Xuất Vỏ Bưởi , CAPB , Sodium lauryl sulfate ",,Nazorel,Hộp,Thiết bị y tế | Dụng cụ y tế,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/dau-goi-tri-gau-nazorel-shampoo-ciclopirox-olamine-100-ml-1.html,trang-thiet-bi-y-te,0
3,00047904,"XỊT THƠM MIỆNG ARO MOUTH 10ML - KHỬ MÙI HÔI MIỆNG, GIẢM SÂU RĂNG, VIÊM LỢI","Xịt thơm miệng Aro Mouth 10ml Hgsg Pharma làm thơm miệng tức thì khử mùi hôi miệng, mùi thức ăn, rượu bia",trang-thiet-bi-y-te/xit-thom-mieng-aro-mouth-10-ml-khu-mui-hoi-mieng-giam-sau-rang-viem-loi.html,60000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09718_8138420421.jpg,"Bạc hà , Hoa cúc , Tràm , Bách lý hương , Lô hội , Trà xanh , Cam thảo , cây sả , Hoa hồi , Quế , Đinh hương , Natri benzoat ",Dung dịch,HGSG PHARMA,Hộp,Thiết bị y tế | Dụng cụ y tế,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/xit-thom-mieng-aro-mouth-10-ml-khu-mui-hoi-mieng-giam-sau-rang-viem-loi.html,trang-thiet-bi-y-te,0
4,00047777,"DUNG DỊCH XOA BÓP NGOÀI DA OVIFA 60ML - GIÚP GIẢM ĐAU, SƯNG, NHỨC XƯƠNG KHỚP",DUNG DỊCH XOA BÓP CƠ XƯƠNG KHỚP OVIFA 60ML,trang-thiet-bi-y-te/dung-dich-xoa-bop-co-xuong-khop-ovifa-60-ml.html,125000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_01927_6353bec817.jpg,"Xuyên ô , Tam thất , Địa liền , Sói rừng , Quế nhục , Thiên niên kiện , Mã tiền , Huyết Giác , Ngưu tất , Dây đau xương , Glucosamine , Methy salicylat , Ethanol ",Dung dịch,OVIFA,Hộp,Thiết bị y tế | Dụng cụ sơ cứu | Chăm sóc vết thương,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-so-cuu | trang-thiet-bi-y-te/cham-soc-vet-thuong,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/dung-dich-xoa-bop-co-xuong-khop-ovifa-60-ml.html,trang-thiet-bi-y-te,0
5,00047706,"DUNG DỊCH XỊT MŨI OTOSAN NASAL SPRAY BABY 20ML -  HỖ TRỢ ĐIỀU TRỊ VIÊM MŨI,XOANG CHO TRẺ EM","Xịt mũi Otosan Nasal Spray Baby 20ml hỗ trợ viêm mũi do virus, vi khuẩn, dị ứng",trang-thiet-bi-y-te/xit-mui-ho-tro-dieu-tri-viem-mui-xoang-cho-tre-otosan-nasal-spray-baby-20-ml.html,295000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_04572_d319c1a099.jpg,"Carboxymethyl betaglucan , Đồng gluconat , Tinh dầu cam , Lô hội , Hypertonic ",Dung dịch,Otosan,Hộp x 20ml,Thiết bị y tế | Dụng cụ y tế | Dụng cụ vệ sinh mũi,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te | trang-thiet-bi-y-te/dung-cu-ve-sinh-mui,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/xit-mui-ho-tro-dieu-tri-viem-mui-xoang-cho-tre-otosan-nasal-spray-baby-20-ml.html,trang-thiet-bi-y-te,0
6,00047349,"DUNG DỊCH XỊT MŨI MUỐI BIỂN NANO SEA PLUS NGƯỜI LỚN 75ML - LÀM SẠCH, THÔNG MŨI HỌNG","Xịt mũi muối biển Nano Sea Plus 75ml Phương Y Nam làm sạch, vệ sinh mũi, loại bỏ chất nhầy",trang-thiet-bi-y-te/xit-mui-muoi-bien-nano-sea-plus-nguoi-lon-75-ml.html,30000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_01815_0076bc598d.jpg,"Sodium chloride 0.9% , Sodium bicarbonate , Sodium hyaluronate , Menthol , Benzalkonium Chloride , Potassium sorbate , Nước tinh khiết ",,Phương Y Nam,Hộp,Thiết bị y tế | Dụng cụ y tế | Dụng cụ vệ sinh mũi,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te | trang-thiet-bi-y-te/dung-cu-ve-sinh-mui,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/xit-mui-muoi-bien-nano-sea-plus-nguoi-lon-75-ml.html,trang-thiet-bi-y-te,0
7,00047347,NHIỆT KẾ ĐIỆN TỬ ĐO THÂN NHIỆT FUJI DT007,Nhiệt kế điện tử Fuji DT007 để đo nhiệt độ cơ thể,trang-thiet-bi-y-te/nhiet-ke-dien-tu-fuji-dt-007-1.html,69000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09698_b252d0e8a7.jpg,Nhựa ,,FUJI,Hộp,Thiết bị y tế | Dụng cụ theo dõi | Nhiệt kế,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-theo-doi | trang-thiet-bi-y-te/nhiet-ke,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/nhiet-ke-dien-tu-fuji-dt-007-1.html,trang-thiet-bi-y-te,0
8,00047344,NHIỆT KẾ HỒNG NGOẠI ĐO TRÁN YUWELL YT-1C,Nhiệt kế hồng ngoại Yuwell YT-1C đo nhiệt độ cơ thể,trang-thiet-bi-y-te/nhiet-ke-hong-ngoai-yuwell-yt-1-c.html,590000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09751_ac0903b1b2.jpg,Nhựa ,,Yuwell,Hộp,Thiết bị y tế | Dụng cụ theo dõi | Nhiệt kế,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-theo-doi | trang-thiet-bi-y-te/nhiet-ke,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/nhiet-ke-hong-ngoai-yuwell-yt-1-c.html,trang-thiet-bi-y-te,0
9,00047152,"GEL BÔI GIẢM ĐAU VOLTOGEL MASS 50G - GIÚP GIẢM ĐAU CƠ, ĐAU VAI, BẦM TÍM, BONG GÂN","Gel Voltogel Mass giảm đau cơ, đau vai, bầm tím, bong gân (50g)",trang-thiet-bi-y-te/voltogel-mass-gel-boi-giam-dau-50-g.html,110000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09972_e1ad800300.jpg,"Menthol 5g, Camphor 2g, Ngải cứu 3.3g, Tam thất 0.5g, Khương hoạt 2.5g, Tinh dầu quế 0.16g, Địa liền 2.5g, Bạch cập 1.5g, Tế tân 1.5g, Độc hoạt 0.8g, Methyl Salicylat 500mg, Vitamin B5 100mg",,VOLTOGEL,Hộp,Thiết bị y tế | Dụng cụ y tế | Các dụng cụ và sản phẩm khác,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te | trang-thiet-bi-y-te/dung-cu-khac,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/voltogel-mass-gel-boi-giam-dau-50-g.html,trang-thiet-bi-y-te,0
10,00047003,DẦU KHUYNH DIỆP CON Ó EAGLE BRAND EUCALYPTUS OIL PLUS+ 25ML - CHỐNG MUỖI 8 TIẾNG,"Dầu khuynh diệp con ó Eagle Brand Eucalyptus Oil Plus+ 25ml chống muỗi 8 tiếng, điều trị cảm cúm",trang-thiet-bi-y-te/eagle-brand-eucalyptus-oil-plus-25-ml-dau-khuynh-diep-con-o-chong-muoi-8-tieng-1.html,109000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_00164_202d0c0d74.jpg,"Tinh dầu khuynh diệp , Chiết xuất dầu lá , Hương liệu ",,Eagle,Hộp,Thiết bị y tế | Dụng cụ y tế,trang-thiet-bi-y-te | trang-thiet-bi-y-te/dung-cu-y-te,True,True,110,0,https://nhathuoclongchau.com.vn/trang-thiet-bi-y-te/eagle-brand-eucalyptus-oil-plus-25-ml-dau-khuynh-diep-con-o-chong-muoi-8-tieng-1.html,trang-thiet-bi-y-te,0
