nhom_san_pham,san_pham,chuong_trinh
Khác,Paracetamol 500mg ABC Pharma,Cứ 2 hộp tặng 5 hộp Paracetamol 1 vỉ
Khác,Vitamin C 500mg sủi bọt ABC,"Cứ 2 tặng 1 (50%), được cộng hưởng cùng"
Khác,Vitamin D3 1000IU Softgel,Cứ 3 tặng 1 cùng loại (33%)
Khác,Ibuprofen 400mg ABC Care,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10
Khác,Siro ho Prospan Đức,"Cứ 20 lốc thưởng 5% bằng điểm, thêm"
Khác,Thuốc ho Bảo Thanh,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1
Khác,Thuốc cảm Coldacmin Forte,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp"
Khác,Omega-3 Fish Oil 1000mg,"Tích điểm 5% + hỗ trợ POSM (poster,"
Khác,Collagen Plus Beauty Drink,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm
Khác,Canxi Nano D3 K2 MK7,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm
Khác,Kẽm Gluconate 50mg,"Cứ 2 hộp tặng 5 hộp Kẽm 1 vỉ (26.3%), tối đa"
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",12
Khác,Viên ngậm ho Eugica,Cứ 3 tặng 1 cùng loại (33%)
Khác,Thuốc nhỏ mũi Otrivin,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10
Khác,Dung dịch vệ sinh mũi,Physiodose
Khác,Vitamin Tổng hợp Daily One,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1
Khác,Siro Multivitamin ABC,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp"
Khác,Glucosamine 1500mg,"Tích điểm 5% + hỗ trợ POSM (poster,"
Khác,Thuốc bổ gan Boganic,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm
Khác,Gaviscon dạ dày,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm
Khác,DHA 1000mg bổ não,"Cứ 2 hộp tặng 5 hộp DHA 1 vỉ (26.3%), tối đa"
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",22
Khác,Sữa ong chúa Royal Jelly 1000mg,Cứ 3 tặng 1 cùng loại (33%)
Khác,Viên uống trắng da Glutathione,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10
Khác,Viên uống giảm cân Slimfit Plus,"Cứ 20 lốc thưởng 5% bằng điểm, thêm"
Khác,Thuốc xịt mũi Sterimar,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1
Khác,Loratadin 10mg,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp"
Khác,Thuốc đau bao tử Yumangel,"Tích điểm 5% + hỗ trợ POSM (poster,"
Khác,Omega-3 Salmon Oil,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm
Khác,Vitamin E 400IU ABC,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm
Khác,Sắt + Acid Folic Prenatal,"Cứ 2 hộp tặng 5 hộp Sắt 1 vỉ (26.3%), tối đa"
Khác,"suất/nhà thuốc, cộng hưởng CT cam kết",32
Khác,Methorphan trị ho,Cứ 3 tặng 1 cùng loại (33%)
Khác,Siro ho Ích Nhi,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10
Khác,Thuốc trị ho Pectol,"Cứ 20 lốc thưởng 5% bằng điểm, thêm"
Khác,Ginkgo Biloba,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1
Khác,Canxi Corbiere,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp"
Khác,Bright Eyes bổ mắt,"Tích điểm 5% + hỗ trợ POSM (poster,"
Khác,Biozyme men tiêu hóa,Mua 10 tặng 2 + đào tạo kiến thức sản phẩm
Khác,Collagen ADIVA,Cứ 7 tặng 1 cùng loại (14%) hoặc tích điểm
Khác,Magie B6,"Cứ 2 hộp tặng 5 hộp Magie 1 vỉ (26.3%), tối"
Khác,Enterogermina men vi sinh,"Cứ 2 tặng 1 (50%), được cộng hưởng cùng"
Khác,Smecta trị tiêu chảy,Cứ 3 tặng 1 cùng loại (33%)
Khác,Berocca viên sủi,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10
Khác,Strepsils đau họng,"Cứ 20 lốc thưởng 5% bằng điểm, thêm"
Khác,Canesten trị nấm da,Mua 1 hoặc cả 2 loại: Mức 1: Cứ 3 tặng 1
Khác,Dung dịch rửa tay ABC,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp"
