product_id,product_name,product_name_original,brand,category,subcategory,sku,price,price_unit,dosage_form,ingredients,specification,is_active,source_database,ai_extracted_product,has_ai_match,ai_match_confidence,total_quantity_purchased,purchase_frequency,avg_quantity_per_purchase,avg_purchase_price,min_purchase_price,max_purchase_price,pharmacies,first_purchase_date,last_purchase_date,promotion_programs,promotion_categories,promotion_count,has_purchase_data,has_promotion_data,data_completeness_score
LC_00049347,CỐM VI SINH BỔ SUNG LỢI KHUẨN ĐƯỜNG RUỘT LACTO BIOMIN GOLD+ NEW HDPHARMA 20 GÓI X 5G,CỐM VI SINH BỔ SUNG LỢI KHUẨN ĐƯỜNG RUỘT LACTO BIOMIN GOLD+ NEW HDPHARMA 20 GÓI X 5G,Hdpharma,Thực phẩm chức năng,Hỗ trợ tiêu hóa,00049347,149000.0,Hộp,Cốm,"Balcillus clausii 1.5108cfu, Bacillus subtilis 10^8CFU, Bacillus coagulans 1.5x10^8cfu, Inulin 200mg, Canxi gluconat 100mg, L-Lysine hydrochloride 80mg, Taurine 20mg, Betaglucan 80% 15mg, Sắt III Hydroxide Polymaltose complex 15mg, Vitamin B3 4mg, Thymomodulin 5mg, Magie gluconat 3mg, Kẽm Gluconat 3mg, Vitamin B5 2mg, Vitamin B1 1.5mg, Vitamin B2 1.5mg, Vitamin B6 1.5mg, Mangan sulfat 1.5mg",Hộp 20 Gói x 5g,True,Long Chau,,False,0.0,0,0,0.0,0.0,0,0,,,,,,0,False,False,0.4
LC_00047382,"BỔ SUNG VITAMIN D3 HỖ TRỢ XƯƠNG, RĂNG D3 DROPS DAO NORDIC HEALTH 10ML","BỔ SUNG VITAMIN D3 HỖ TRỢ XƯƠNG, RĂNG D3 DROPS DAO NORDIC HEALTH 10ML",DAO Nordic Health,Thực phẩm chức năng,Cải thiện tăng cường chức năng,00047382,270000.0,Hộp,Dung dịch,Vitamin D3 10mcg,Hộp,True,Long Chau,Vitamin D3,True,1.0,262,2,131.0,325614.5,152329,498900,"Nhà thuốc Gia Hân, Nhà thuốc Trung Sơn",15/02/2025,31/08/2025,"Cứ 3 tặng 1 cùng loại (33%); Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên","Khác, Vitamin & Khoáng chất",2,True,True,1.0
LC_00046430,"SIRO HO, BỔ PHẾ LÁBEBÉ 120ML","SIRO HO, BỔ PHẾ LÁBEBÉ 120ML",LÁBEBÉ,Thực phẩm chức năng,Cải thiện tăng cường chức năng,00046430,75000.0,Hộp,Siro,"Mạch môn 200mg, Cát cánh 90mg, Cam thảo 25mg, Xuyên tâm liên 2.5mg, Dịch chiết lá Thường xuân 9mg, Keo Ong 0.5mg",Hộp,True,Long Chau,Siro ho,True,1.0,0,0,0.0,0.0,0,0,,,,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Khác,1,False,True,0.8
LC_00045955,VIÊN UỐNG BỔ SUNG CANXI GIÚP XƯƠNG CHẮC KHỎE NUTRIGROW NUTRIMED 60V,VIÊN UỐNG BỔ SUNG CANXI GIÚP XƯƠNG CHẮC KHỎE NUTRIGROW NUTRIMED 60V,NUTRIMED,Thực phẩm chức năng,Vitamin & Khoáng chất,00045955,480000.0,Hộp,Viên nén,"Calcium Citrate 476mg, Calcium Carbonate 375mg, Vitamin D3 200iu, Vitamin K2 30mcg, Dibasic Calcium Phosphate 152mg, Magie oxide 20mg, Kẽm oxide 1.25mg, boron citrate 926mcg, Đồng Oxit 156mcg",Hộp 60 Viên,True,Long Chau,Canxi,True,1.0,0,0,0.0,0.0,0,0,,,,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Khác,1,False,True,0.8
LC_00045954,VIÊN UỐNG BỔ SUNG VITAMIN VÀ KHOÁNG CHẤT EASYLIFE IMMUVITA 100V,VIÊN UỐNG BỔ SUNG VITAMIN VÀ KHOÁNG CHẤT EASYLIFE IMMUVITA 100V,EASYLIFE,Thực phẩm chức năng,Vitamin & Khoáng chất,00045954,390000.0,Hộp,Viên nén,"Canxi hydrogen phosphat , Magie oxide , Canxi carbonat , Vitamin C , Vitamin E , Niacin , Sắt fumarate , Panthothenic Acid , Lutein , Vitamin A , Đồng sulfat , Kẽm (kẽm oxit) , Mangane Sulphate , Vitamin D3 , Vitamin B6 , Vitamin K1 , Vitamin B2 , Vitamin B1 , Coenzyme Q10 , Vitamin B12 , Folic Acid , Crom (III) Chloride , Kali lodide , Natri Molybdate , Natri selenite , Biotin ",Hộp 100 Viên,True,Long Chau,Vitamin D3,True,1.0,262,2,131.0,325614.5,152329,498900,"Nhà thuốc Gia Hân, Nhà thuốc Trung Sơn",15/02/2025,31/08/2025,"Cứ 3 tặng 1 cùng loại (33%); Mua 10 tặng 1, áp dụng cho đơn hàng từ 3 triệu trở lên","Khác, Vitamin & Khoáng chất",2,True,True,1.0
LC_00045449,ỐNG UỐNG CANXI-D3-K2 KINGPHAR 6X5 ỐNG,ỐNG UỐNG CANXI-D3-K2 KINGPHAR 6X5 ỐNG,Kingphar,Thực phẩm chức năng,Vitamin & Khoáng chất,00045449,105000.0,Hộp,Hỗn dịch,"Calci glucoheptonat 550mg, Vitamin D3 100iu, Vitamin K2 10mcg",Hộp 6 Vỉ x 5 Ống,True,Long Chau,Canxi,True,1.0,0,0,0.0,0.0,0,0,,,,"Chiết khấu theo bậc: >50 hộp 5%, >100 hộp",Khác,1,False,True,0.8
LC_00045391,SIRO BRAUER BABY KIDS D3+K2 HIGH POTENCY MK-7 DROPS 10ML,SIRO BRAUER BABY KIDS D3+K2 HIGH POTENCY MK-7 DROPS 10ML,Brauer,Thực phẩm chức năng,Vitamin & Khoáng chất,00045391,396000.0,Hộp,Dung dịch uống,"Vitamin K2 11.25mcg, Vitamin D3 5mcg",Hộp,True,Long Chau,Siro ho,True,1.0,0,0,0.0,0.0,0,0,,,,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Khác,1,False,True,0.8
LC_00045385,SIRO TĂNG CƯỜNG SỨC ĐỀ KHÁNG VÀ CHIỀU CAO CHO TRẺ KID GROW KENKO 100ML,SIRO TĂNG CƯỜNG SỨC ĐỀ KHÁNG VÀ CHIỀU CAO CHO TRẺ KID GROW KENKO 100ML,KENKO,Thực phẩm chức năng,Cải thiện tăng cường chức năng,00045385,480000.0,Hộp,Siro,"Inulin 1500mg, Mật ong 1350mg, Oligosaccharide 450mg, Magie clorua 62.85mg, Vitamin C 30mg, Sodium Ferrous Citrat 22.5mg, Canxi lactate 20.55mg, Acid folic 7.5mg, Vitamin A 3.09mg, Kẽm 1.5mg, Actobacillus 1.5mg, Hoa cúc tím 0.75mg, Quả la hán 0.75mg, Vitamin D3 0.705mg, Vitamin B12 0.6mg, Vitamin B2 0.45mg, Vitamin B6 0.375mg, Vitamin B1 0.3mg, Dầu cá tinh luyện 0.15mg",Hộp x 100ml,True,Long Chau,Siro ho,True,1.0,0,0,0.0,0.0,0,0,,,,Cứ 5 hộp tặng 2 hộp 2 vỉ (8.3%) hoặc cứ 10,Khác,1,False,True,0.8
LC_00045384,"VIÊN UỐNG HỖ TRỢ NÃO BỘ, THỊ LỰC VÀ SỨC KHOẺ TIM MẠCH OMEGA 3 PLUS KENKO 120V","VIÊN UỐNG HỖ TRỢ NÃO BỘ, THỊ LỰC VÀ SỨC KHOẺ TIM MẠCH OMEGA 3 PLUS KENKO 120V",KENKO,Thực phẩm chức năng,Cải thiện tăng cường chức năng,00045384,920000.0,Hộp,Viên nang mềm,"Dầu hạt lanh 580mg, Omega 3 360mg, Hạt Tía Tô 183.2mg, Dầu nhuyễn thể 12mg, Vitamin E 12mg, Chiết xuất vi tảo lục 0.4mg, Nattokinase 0.4mg",Hộp 120 Viên,True,Long Chau,,False,0.0,0,0,0.0,0.0,0,0,,,,,,0,False,False,0.4
LC_00045381,VIÊN UỐNG BỔ NÃO GINKGO 120 PREMIUM OMEXXEL 60V,VIÊN UỐNG BỔ NÃO GINKGO 120 PREMIUM OMEXXEL 60V,OMEXXEL,Thực phẩm chức năng,Thần kinh não,00045381,788000.0,Hộp,Viên nang cứng,"Bạch quả 120mg, Nhân Sâm 100mg, Coenzym Q10 30mg, magnesi 28mg, Canxi 27mg, Kẽm 15mg, Vitamin PP 20mg, Vitamin B6 2mg, Vitamin B5 5mg, Vitamin B1 2mg, Vitamin B2 1mg, Vitamin D3 10mcg",Hộp 60 Viên,True,Long Chau,,False,0.0,0,0,0.0,0.0,0,0,,,,,,0,False,False,0.4
LC_00045364,VIÊN UỐNG BỔ SUNG OMEGA 3-6-9 PREMIUM OMEXXEL 100V,VIÊN UỐNG BỔ SUNG OMEGA 3-6-9 PREMIUM OMEXXEL 100V,OMEXXEL,Thực phẩm chức năng,Vitamin & Khoáng chất,00045364,453000.0,Hộp,Viên nang mềm,"Omega 3 400mg, Omega 6 400mg, Omega 9 400mg, Tinh dầu tỏi 2mg, Vitamin A 300mcg, Vitamin E 3mg",Hộp 100 Viên,True,Long Chau,,False,0.0,0,0,0.0,0.0,0,0,,,,,,0,False,False,0.4
